date,wtu,tpuCaldara,tpuBaker,epu,gdpDE,gdpFR,gdpIT,gdpES,gdpEA,pmiEA,pmiFR,pmiDE,pmiIT,pmiES,hicpES,hicpDE,hicpIT,hicpFR,hicpEA,euribor,invEA,invDE,invES,invFR,invIT,gdpEAln,invEAln,gdpUS,invUS,pmiUS,cpiUS,tbill
01/04/2004,0.00,1.36,1.64,1.93,0.57,0.44,0.26,1.06,0.61,54.44,55.75,55.87,52.31,-0.20,1.23,0.62,0.60,0.68,0.70,2.12,0.93,0.93,1.29,0.58,0.40,28.49,26.96,0.77,3.98,60.50,0.96,1.31
01/07/2004,0.00,1.46,1.52,2.00,-0.32,0.38,0.07,0.84,0.22,53.13,54.01,54.13,51.61,-2.60,0.67,0.41,0.53,0.41,0.45,2.15,0.13,-0.36,1.65,0.47,-1.38,28.49,26.97,0.95,1.58,57.40,0.48,1.68
01/10/2004,0.00,1.48,1.51,1.89,-0.05,0.89,0.26,0.71,0.41,51.44,52.45,51.69,48.62,-3.40,0.82,0.58,0.64,0.57,0.62,2.16,0.35,-0.55,1.24,1.34,0.16,28.49,26.97,1.02,2.08,57.20,1.00,2.18
01/01/2005,0.00,1.36,1.41,1.76,0.19,0.26,-0.18,0.89,0.25,50.40,51.91,50.30,49.07,-4.70,0.73,0.25,0.46,0.50,0.43,2.15,0.21,-1.37,2.26,0.49,0.96,28.50,26.97,1.11,2.81,55.20,0.73,2.73
01/04/2005,0.00,1.59,1.79,1.87,0.55,0.26,0.86,0.89,0.60,49.91,50.68,49.82,49.42,-6.80,0.87,0.38,0.49,0.21,0.48,2.11,1.81,1.88,1.87,0.49,1.32,28.50,26.99,0.49,-1.30,52.40,0.31,3.06
01/07/2005,0.00,1.36,1.34,1.96,0.82,0.76,0.53,0.96,0.74,51.74,52.71,50.97,51.51,-2.30,1.31,1.38,0.59,0.96,1.06,2.18,1.32,1.53,1.99,1.62,1.11,28.51,27.00,0.78,1.31,56.80,2.63,3.47
01/10/2005,0.00,1.51,1.47,1.89,0.38,0.70,0.47,0.99,0.67,53.58,52.22,53.56,54.09,-1.00,0.77,0.09,0.51,0.06,0.26,2.49,0.90,2.90,0.31,0.54,0.49,28.52,27.01,0.56,3.19,55.10,-0.35,3.99
01/01/2006,0.00,1.39,1.68,1.81,1.12,0.84,0.26,1.16,0.92,56.08,54.60,58.09,55.47,-2.20,0.92,0.09,0.57,0.53,0.44,2.82,1.20,-1.37,3.23,1.06,0.30,28.52,27.02,1.35,1.47,54.30,0.81,4.52
01/04/2006,0.00,1.43,1.37,1.90,1.70,1.21,0.37,0.90,1.08,57.68,56.07,59.50,57.50,0.40,0.83,0.51,0.63,0.64,0.66,3.06,2.52,6.99,1.72,2.20,0.72,28.54,27.05,0.26,-0.57,52.00,1.05,4.87
01/07/2006,0.00,1.43,1.20,1.83,0.78,0.10,0.31,0.94,0.54,56.64,55.96,58.39,54.76,1.30,0.39,0.24,0.80,0.28,0.44,3.42,0.63,0.12,1.09,0.57,-0.36,28.54,27.05,0.15,-0.38,52.20,0.50,4.77
01/10/2006,0.00,1.43,1.26,1.80,1.46,0.54,1.41,0.93,1.13,56.52,54.21,59.43,54.96,3.20,0.58,0.53,0.12,0.26,0.35,3.73,2.27,2.79,1.35,1.43,3.63,28.55,27.08,0.86,-1.86,51.40,0.15,4.89
01/01/2007,0.00,1.43,1.35,1.84,0.13,1.07,-0.21,0.91,1.04,55.41,53.77,56.88,53.85,3.90,0.69,0.67,0.44,0.06,0.53,3.92,1.08,0.08,1.40,2.07,-1.01,28.56,27.09,0.30,-0.65,52.80,1.08,4.90
01/04/2007,6.22,1.53,1.35,1.87,0.66,0.64,0.29,0.88,0.65,55.56,53.75,57.33,53.98,0.40,0.72,0.50,0.56,0.64,0.54,4.18,0.53,-0.91,0.65,1.01,-0.22,28.57,27.09,0.61,0.96,54.00,0.95,4.68
01/07/2007,0.00,1.28,1.48,2.00,0.50,0.29,0.03,0.75,0.37,53.21,50.51,54.87,52.39,-0.20,0.75,0.92,0.65,0.69,0.74,4.79,0.65,0.31,-0.09,0.92,0.16,28.57,27.10,0.58,-1.15,53.80,0.63,3.72
